date,salescount
12/21/2016,23
12/22/2016,23
12/23/2016,21
12/24/2016,6
12/25/2016,0
12/26/2016,12
12/27/2016,23
12/28/2016,31
12/29/2016,43
12/30/2016,35
12/31/2016,3
1/2/2017,16
1/3/2017,36
1/4/2017,40
1/5/2017,43
1/6/2017,41
1/7/2017,35
1/8/2017,11
1/9/2017,24
1/10/2017,24
1/11/2017,33
1/12/2017,41
1/13/2017,29
1/14/2017,20
1/15/2017,20
1/16/2017,25
1/17/2017,30
1/18/2017,26
1/19/2017,40
1/20/2017,23
1/21/2017,31
1/22/2017,16
1/23/2017,45
1/24/2017,31
1/25/2017,41
1/26/2017,30
1/27/2017,29
1/28/2017,24
1/29/2017,18
1/30/2017,38
1/31/2017,24
2/1/2017,37
2/2/2017,38
2/3/2017,30
2/4/2017,26
2/5/2017,20
2/6/2017,35
2/7/2017,36
2/8/2017,36
2/9/2017,53
2/10/2017,37
2/11/2017,22
2/12/2017,18
2/13/2017,35
2/14/2017,27
2/15/2017,49
2/16/2017,37
2/17/2017,46
2/18/2017,18
2/19/2017,16
2/20/2017,34
2/21/2017,36
2/22/2017,29
2/23/2017,39
2/24/2017,34
2/25/2017,26
2/26/2017,17
2/27/2017,41
2/28/2017,39
3/1/2017,40
3/2/2017,36
3/3/2017,32
3/4/2017,32
3/5/2017,20
3/6/2017,43
3/7/2017,43
3/8/2017,37
3/9/2017,48
3/10/2017,42
3/11/2017,25
3/12/2017,16
3/13/2017,41
3/14/2017,43
3/15/2017,42
3/16/2017,28
3/17/2017,42
3/18/2017,22
3/19/2017,21
3/20/2017,35
3/21/2017,51
3/22/2017,37
3/23/2017,39
3/24/2017,32
3/25/2017,22
3/26/2017,27
3/27/2017,31
3/28/2017,45
3/29/2017,41
3/30/2017,44
3/31/2017,30
4/1/2017,25
4/2/2017,30
4/3/2017,32
4/4/2017,39
4/5/2017,38
4/6/2017,47
4/7/2017,44
4/8/2017,18
4/9/2017,16
4/10/2017,30
4/11/2017,36
4/12/2017,37
4/13/2017,42
4/14/2017,33
4/15/2017,28
4/16/2017,0
4/17/2017,41
4/18/2017,39
4/19/2017,41
4/20/2017,38
4/21/2017,45
4/22/2017,24
4/23/2017,21
4/24/2017,39
4/25/2017,40
4/26/2017,34
4/27/2017,39
4/28/2017,42
4/29/2017,29
4/30/2017,22
5/1/2017,46
5/2/2017,40
5/3/2017,45
5/4/2017,45
5/5/2017,48
5/6/2017,20
5/7/2017,16
5/8/2017,30
5/9/2017,31
5/10/2017,40
5/11/2017,35
5/12/2017,46
5/13/2017,31
5/14/2017,11
5/15/2017,34
5/16/2017,36
5/17/2017,42
5/18/2017,36
5/19/2017,47
5/20/2017,26
5/21/2017,23
5/22/2017,35
5/23/2017,26
5/24/2017,47
5/25/2017,30
5/26/2017,42
5/27/2017,19
5/28/2017,20
5/29/2017,11
5/30/2017,32
5/31/2017,36
6/1/2017,34
6/2/2017,43
6/3/2017,17
6/4/2017,18
6/5/2017,40
6/6/2017,47
6/7/2017,36
6/8/2017,41
6/9/2017,39
6/10/2017,20
6/11/2017,17
6/12/2017,35
6/13/2017,45
6/14/2017,27
6/15/2017,39
6/16/2017,36
6/17/2017,22
6/18/2017,24
6/19/2017,41
6/20/2017,33
6/21/2017,29
6/22/2017,42
6/23/2017,33
6/24/2017,29
6/25/2017,17
6/26/2017,43
6/27/2017,37
6/28/2017,45
6/29/2017,41
6/30/2017,36
7/1/2017,15
7/2/2017,19
7/3/2017,24
7/4/2017,10
7/5/2017,34
7/6/2017,31
7/7/2017,28
7/8/2017,23
7/9/2017,12
7/10/2017,41
7/11/2017,23
7/12/2017,39
7/13/2017,36
7/14/2017,38
7/15/2017,26
7/16/2017,17
7/17/2017,42
7/18/2017,39
7/19/2017,46
7/20/2017,33
7/21/2017,32
7/22/2017,19
7/23/2017,32
7/24/2017,41
7/25/2017,37
7/26/2017,31
7/27/2017,45
7/28/2017,32
7/29/2017,22
7/30/2017,21
7/31/2017,39
8/1/2017,34
8/2/2017,27
8/3/2017,29
8/4/2017,29
8/5/2017,21
8/6/2017,24
8/7/2017,44
8/8/2017,22
8/9/2017,42
8/10/2017,29
8/11/2017,29
8/12/2017,25
8/13/2017,29
8/14/2017,41
8/15/2017,24
8/16/2017,44
8/17/2017,46
8/18/2017,46
8/19/2017,24
8/20/2017,10
8/21/2017,40
8/22/2017,40
8/23/2017,36
8/24/2017,37
8/25/2017,31
8/26/2017,23
8/27/2017,21
8/28/2017,44
8/29/2017,42
8/30/2017,46
8/31/2017,35
9/1/2017,31
9/2/2017,23
9/3/2017,16
9/4/2017,0
9/5/2017,38
9/6/2017,35
9/7/2017,42
9/8/2017,31
9/9/2017,28
9/10/2017,14
